"id","ciudad","municipio_id","ip","host","deleted_at","created_at","updated_at","searchtext","status","creado_por_id"
1,"",2458,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","",False,1
2,"ASIENTOS",1,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'asient':1",False,1
3,"CALVILLO",2,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'calvill':1",False,1
4,"COSÍO",3,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'cosi':1",False,1
5,"JESÚS MARÍA",5,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'jesus':1 'mar':2",False,1
6,"PABELLÓN DE ARTEAGA",6,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'arteag':3 'pabellon':1",False,1
7,"RINCÓN DE ROMOS",7,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'rincon':1 'rom':3",False,1
8,"SAN FRANCISCO DE LOS ROMO",8,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'francisc':2 'rom':5 'san':1",False,1
9,"TEPEZALÁ",10,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'tepezal':1",False,1
10,"ENSENADA",11,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'ensen':1",False,1
11,"MEXICALI",12,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'mexicali':1",False,1
12,"PLAYAS DE ROSARITO",13,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'play':1 'rosarit':3",False,1
13,"TECATE",14,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'tecat':1",False,1
14,"TIJUANA",15,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'tijuan':1",False,1
15,"CABO SAN LUCAS",19,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'cab':1 'luc':3 'san':2",False,1
16,"CIUDAD CONSTITUCIÓN",17,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'ciud':1 'constitu':2",False,1
17,"GUERRERO NEGRO",20,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'guerrer':1 'negr':2",False,1
18,"HEROICA MULEGÉ",20,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'heroic':1 'muleg':2",False,1
19,"LA PAZ",16,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'paz':2",False,1
20,"LORETO",18,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'loret':1",False,1
21,"PUERTO ADOLFO LÓPEZ MATEOS",17,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'adolf':2 'lopez':3 'mate':4 'puert':1",False,1
22,"SAN IGNACIO",20,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'ignaci':2 'san':1",False,1
23,"SAN JOSÉ DEL CABO",19,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'cab':4 'jos':2 'san':1",False,1
24,"TODOS SANTOS",16,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'sant':2",False,1
25,"VILLA ALBERTO ANDRÉS ALVARADO ARÁMBURO",20,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'albert':2 'alvar':4 'andres':3 'arambur':5 'vill':1",False,1
26,"CALKINI",23,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'calkini':1",False,1
27,"CANDELARIA",24,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'candelari':1",False,1
28,"CHAMPOTÓN",26,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'champoton':1",False,1
29,"CIUDAD DEL CARMEN",25,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'carm':3 'ciud':1",False,1
30,"ESCÁRCEGA",27,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'escarceg':1",False,1
31,"HECELCHAKÁN",28,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'hecelchakan':1",False,1
32,"HOPELCHÉN",29,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'hopelchen':1",False,1
33,"POMUCH",28,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'pomuch':1",False,1
34,"SABANCUY",25,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'sabancuy':1",False,1
35,"SAN FRANCISCO DE CAMPECHE",21,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'campech':4 'francisc':2 'san':1",False,1
36,"ACALA",80,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'acal':1",False,1
37,"ARRIAGA",87,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'arriag':1",False,1
38,"CACAHOATÁN",93,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'cacahoatan':1",False,1
39,"CHIAPA DE CORZO",104,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'chiap':1 'corz':3",False,1
40,"CINTALAPA DE FIGUEROA",95,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'cintalap':1 'figuero':3",False,1
41,"COMITÁN DE DOMÍNGUEZ",97,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'comitan':1 'dominguez':3",False,1
42,"HUIXTLA",117,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'huixtl':1",False,1
43,"JIQUIPILAS",123,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'jiquipil':1",False,1
44,"LAS MARGARITAS",129,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'margarit':2",False,1
